ra,dec,mag,mjd,class_star,sector
60.94132034433505,-13.894461856022197,22.671875,58410.34369257791,0.979492,SECTOR_GAMMA
60.97734711369432,-13.900964953236118,23.030174,57810.11134551002,0.81107,SECTOR_GAMMA
60.907730843183856,-13.83713030253488,23.053448,57676.33863491059,0.80299,SECTOR_GAMMA
60.91986297168648,-13.843127405487008,23.515625,58410.34369257791,0.975098,SECTOR_GAMMA
60.92340214613347,-13.842203785937937,22.953125,58396.227571449475,0.995117,SECTOR_GAMMA
60.94812626760842,-13.837976897081674,22.657373,57620.890492298735,0.895239,SECTOR_GAMMA
61.0128593132044,-14.171850565576404,22.609375,58396.22717188718,0.907227,SECTOR_GAMMA
61.02111633054953,-14.17128640017485,22.53125,56920.36947683571,0.995117,SECTOR_GAMMA
61.03612797179902,-14.138580353180174,22.627007,57861.37187328013,0.856152,SECTOR_GAMMA
61.03697863345692,-14.128608780532543,22.84375,57371.24693279294,0.967285,SECTOR_GAMMA
61.046727709129264,-14.129929868837433,22.578125,58396.22717188718,0.994141,SECTOR_GAMMA
61.056582266626606,-14.129656004686703,22.864967,57726.38381959587,0.833707,SECTOR_GAMMA
61.077545365932714,-14.192837842276006,22.927578,57724.97058427649,0.828104,SECTOR_GAMMA
61.10075576336965,-14.173346407505404,23.71875,57695.281622877344,0.969727,SECTOR_GAMMA
61.10475494634522,-14.169301825255324,23.046875,58403.251331085805,0.911621,SECTOR_GAMMA
61.13793212885978,-14.196079731111992,22.501966,57668.20174527957,0.88129,SECTOR_GAMMA
61.125215242126906,-14.15869755541403,22.667706,57801.218300438566,0.847428,SECTOR_GAMMA
61.09198638538205,-14.130044517368786,22.94486,57830.044215804155,0.840155,SECTOR_GAMMA
61.0022768316146,-14.04829746617758,22.505667,57589.10637732432,0.871033,SECTOR_GAMMA
61.02413572982832,-14.01140964001296,22.619732,57707.554571025765,0.842083,SECTOR_GAMMA
61.13625025159418,-14.111761701316976,23.578125,57705.683926820966,0.909473,SECTOR_GAMMA
61.10557309656158,-14.043460538689995,23.625,57371.24693279294,0.986816,SECTOR_GAMMA
61.17015004082924,-14.169050064134348,22.545166,57631.592972086146,0.810541,SECTOR_GAMMA
61.195293417660466,-14.108271110432083,22.671429,57738.55648888925,0.890892,SECTOR_GAMMA
61.16572186774454,-14.08383876936849,23.703125,57371.24693279294,0.964355,SECTOR_GAMMA
61.17310041352123,-14.072750757042543,22.828125,57371.24693279294,0.98877,SECTOR_GAMMA
61.20093460647922,-14.095266244839534,23.359375,57371.24693279294,0.837402,SECTOR_GAMMA
61.17871423134101,-14.059773097935452,22.828125,56930.33404760808,0.972168,SECTOR_GAMMA
61.17745221002758,-14.037685235173605,23.671875,57615.08008152724,0.808757,SECTOR_GAMMA
61.2194279795232,-14.077247040332209,23.1875,57371.24693279294,0.98877,SECTOR_GAMMA
61.03976893770126,-13.991815862191345,22.509295,57780.91131729757,0.820824,SECTOR_GAMMA
61.058145513597786,-14.01128534827308,22.5625,56930.33404760808,0.995605,SECTOR_GAMMA
61.06820485722,-14.006058214684945,22.65625,57371.24693279294,0.981445,SECTOR_GAMMA
61.05403623121777,-13.987517322381256,24.09375,56930.33404760808,0.92334,SECTOR_GAMMA
61.05365051106845,-13.984929349558977,23.4375,58410.34369257791,0.986328,SECTOR_GAMMA
60.99285344446701,-13.917447913434852,22.687885,57643.48963527608,0.925014,SECTOR_GAMMA
61.03182450644835,-13.942075153363753,23.40625,57371.24693279294,0.989746,SECTOR_GAMMA
61.06053081890881,-13.96354394388714,22.759756,57720.01247433437,0.849961,SECTOR_GAMMA
61.107301242348946,-13.97835159658504,23.09375,58410.34369257791,0.987305,SECTOR_GAMMA
61.1314127214801,-13.981958736517337,22.810158,57712.89366994338,0.869859,SECTOR_GAMMA
61.13903928968251,-13.970065170336191,23.265625,58396.22717188718,0.891113,SECTOR_GAMMA
60.99648469771815,-13.891131302815998,22.859375,57371.24693279294,0.97998,SECTOR_GAMMA
61.03320802745851,-13.908860554866305,23.126268,57629.08936734019,0.875651,SECTOR_GAMMA
61.04216645065137,-13.911631562781247,22.538551,57765.09035839409,0.826582,SECTOR_GAMMA
61.03084617479874,-13.873311272351843,22.696074,57653.56439717268,0.942974,SECTOR_GAMMA
61.05026693136816,-13.89195428816014,22.515625,58410.34369257791,0.995605,SECTOR_GAMMA
60.999317080993634,-13.837121517416278,23.08368,57676.33869766753,0.836293,SECTOR_GAMMA
61.02337189129334,-13.82599598975335,23.018866,57615.41280931301,0.890761,SECTOR_GAMMA
61.10591975020483,-13.894910317812467,23.265625,58410.34369257791,0.926758,SECTOR_GAMMA
61.12102113383568,-13.911725148951236,22.78109,57799.50541868306,0.833687,SECTOR_GAMMA
61.1351929089275,-13.92449316376292,23.75,56930.33404760808,0.989746,SECTOR_GAMMA
61.137750470965614,-13.91661137985506,22.817461,57822.56282753037,0.818745,SECTOR_GAMMA
61.14016968575019,-13.912580823055077,22.999908,57758.245232847476,0.820196,SECTOR_GAMMA
61.072202177733246,-13.863539787169527,22.96875,57371.24693279294,0.993164,SECTOR_GAMMA
61.08267300258677,-13.847262567786958,22.821226,57618.6651443927,0.834579,SECTOR_GAMMA
61.194117068985435,-14.02739556047818,23.46875,56930.33404760808,0.83252,SECTOR_GAMMA
61.18449697959822,-14.001775504163332,22.878181,57730.87077321624,0.859467,SECTOR_GAMMA
61.19328251899421,-13.997818697265425,23.625,57695.281622877344,0.865234,SECTOR_GAMMA
61.19929213205005,-14.020331485242036,23.046875,58396.227571449475,0.994141,SECTOR_GAMMA
61.22360143169997,-14.024882300050487,22.953125,57371.24693279294,0.995117,SECTOR_GAMMA
61.21585472181364,-13.964974206109844,22.953125,57371.24693279294,0.982422,SECTOR_GAMMA
61.23227461921421,-13.96419059621151,23.59375,57739.013626757675,0.926862,SECTOR_GAMMA
61.229386314482745,-13.916645678088802,23.953125,57371.24693279294,0.931641,SECTOR_GAMMA
61.18835946632385,-13.86976579103708,22.566895,57633.03734136403,0.906335,SECTOR_GAMMA
60.87095489254446,-13.795870608143272,23.026356,57639.76819337426,0.888114,SECTOR_GAMMA
60.900068115514046,-13.773329846101728,23.828125,57899.81450125504,0.909781,SECTOR_GAMMA
60.953104254804536,-13.805836613752549,23.09375,58410.34369257791,0.969727,SECTOR_GAMMA
60.99483278364485,-13.818065720454324,22.666014,57731.46067400931,0.902601,SECTOR_GAMMA
61.03981385921606,-13.813479273649191,22.898523,57762.67618603053,0.834518,SECTOR_GAMMA
61.05480566719493,-13.819230164643734,22.998314,57695.44971637967,0.848807,SECTOR_GAMMA
61.01299446084114,-13.77338579573978,22.704449,57968.59096314162,0.858116,SECTOR_GAMMA
61.09428901061329,-13.803426187669352,22.91647,57758.245232847476,0.846656,SECTOR_GAMMA
61.193681109814065,-13.839723115417192,23.34375,56930.33404760808,0.995117,SECTOR_GAMMA
63.76291393850106,-16.086756425290112,22.891176,57554.315689461626,0.82969,SECTOR_DELTA
63.79361569922904,-16.09309290241212,22.627989,57872.012890844744,0.900805,SECTOR_DELTA
63.7521137706248,-16.071491021052296,23.282825,57641.93645114498,0.808377,SECTOR_DELTA
63.75914340433019,-16.060211074649093,23.377205,57569.88772284263,0.801819,SECTOR_DELTA
63.95952154877245,-16.24329818404682,22.8125,57702.32778973691,0.965332,SECTOR_DELTA
63.82770361634809,-16.185480899182153,23.08874,57628.06152844984,0.843343,SECTOR_DELTA
63.8145162148177,-16.173827060552455,22.9375,56924.3640566743,0.910156,SECTOR_DELTA
63.8737577596056,-16.171330484798272,22.564163,57745.14651173128,0.809385,SECTOR_DELTA
63.87330964634043,-16.152645327034094,23.166174,57792.57875529064,0.84856,SECTOR_DELTA
63.92517409424273,-16.232396600661076,23.484375,57520.8373071664,0.80848,SECTOR_DELTA
63.92884818801468,-16.21966181719035,22.964983,57506.31164674778,0.873202,SECTOR_DELTA
63.952260547539034,-16.220351081514245,23.625,56924.3640566743,0.985352,SECTOR_DELTA
63.93973034104779,-16.197111519162018,22.982307,57574.109331239146,0.842901,SECTOR_DELTA
63.94380834095726,-16.202185306212293,23.134132,57659.19468088912,0.825693,SECTOR_DELTA
63.90615192069991,-16.18552531453766,23.625,56920.37501132069,0.944336,SECTOR_DELTA
